id,name,geometry
442394340,Edeka Prang,POINT (13.386125 52.4453501)
442394430,Domino's,POINT (13.3864852 52.443541399999994)
442394431,Kebaphaus,POINT (13.3865671 52.443438799999996)
442749323,Spät-Shop,POINT (13.4403109 52.4673029)
443458065,Nonna's,POINT (13.3886757 52.519744599999996)
443728420,Isola Verde,POINT (13.206474700000001 52.53807979999999)
445821398,NORMA,POINT (13.4319561 52.4425881)
445842531,McDonald's,POINT (13.3369649 52.50450119999999)
446899198,Curry Pelle,POINT (13.447477600000001 52.46891899999999)
447962689,REWE,POINT (13.2138439 52.5615636)
447974137,Z Burger,POINT (13.4477661 52.45919060000001)
448591011,Norma,POINT (13.4062472 52.55910730000001)
448594622,Späti am Schlesi,POINT (13.441111000000001 52.50109849999998)
448811286,Viet Gourmet,POINT (13.4244448 52.48664479999999)
448814806,EDEKA,POINT (13.422959 52.526075299999995)
448913484,Steinofen Pizza To-Go,POINT (13.4130663 52.54782639999999)
449994504,EDEKA,POINT (13.321705200000002 52.45642509999999)
451613198,Der Pizzamann,POINT (13.1912464 52.53585819999999)
452002193,nah und gut Brabanski,POINT (13.3831859 52.465310299999985)
452106549,Cơm bụi,POINT (13.2758434 52.4484061)
452385593,Multi Spätkauf,POINT (13.5100245 52.5509168)
452635001,Sawaddi,POINT (13.4866527 52.42475790000001)
453394268,Netto Marken-Discount,POINT (13.491450400000002 52.636938099999995)
453394863,Netto,POINT (13.4911121 52.636734899999986)
454167246,Berliner Grillhaus,POINT (13.4124659 52.563048099999996)
454251011,Love Deluxe,POINT (13.4352896 52.49101699999999)
454251024,Spätcampus,POINT (13.435146700000002 52.486090899999994)
454358577,Cafe Bla Bla,POINT (13.1888144 52.5369581)
454358584,Smash Your Burger by Planada,POINT (13.1885504 52.53707769999999)
454633657,Atila's Kebap Haus 2,POINT (13.4799191 52.461012600000004)
456407461,Shell,POINT (13.4653678 52.4359603)
456421031,Goldhähnchen,POINT (13.457122 52.4423952)
458138650,Spätkauf Olive,POINT (13.4465218 52.521133899999995)
458741715,Big Food,POINT (13.4197113 52.4600803)
458752207,Mariendorfer back & spätkauf,POINT (13.3878363 52.440502599999995)
459093473,Piano Piano,POINT (13.451696400000001 52.52622929999999)
459671854,Med Bistro,POINT (13.4034945 52.5810104)
459676366,B&B Focaccia,POINT (13.402751200000003 52.58365469999999)
460199528,Kölle Pizza,POINT (13.4667386 52.4679602)
460331941,REWE City,POINT (13.3907436 52.51050819999998)
461943573,Schudomaer Grill,POINT (13.4503572 52.4737004)
464764424,Akram Arabic Diner,POINT (13.4260971 52.4656293)
465318626,Kaufland,POINT (13.4316168 52.48221539999999)
465318633,Netto Marken-Discount,POINT (13.4337327 52.48509309999999)
466481626,DB Service Point,POINT (13.4308106 52.46765779999999)
469165337,Britzer Höhe,POINT (13.4194361 52.433484599999986)
469876091,PENNY,POINT (13.3048648 52.5125087)
470471637,Aldi,POINT (13.456138600000001 52.4308875)
471301175,EDEKA,POINT (13.5719986 52.4088869)
472372228,Gül Bistro,POINT (13.445203600000001 52.461947099999996)
472501535,Kaufland,POINT (13.4729988 52.504154)
473066908,Gino´s Späti,POINT (13.2992739 52.4220522)
473611934,PENNY,POINT (13.385803900000003 52.558562699999996)
473629401,Soldiner Späti,POINT (13.3900362 52.557809899999995)
474954965,Chaparro,POINT (13.429046700000002 52.498178599999996)
475897824,Lidl,POINT (13.419876 52.496826899999995)
476259949,Heimgetränke,POINT (13.4441313 52.481644700000004)
477403949,Haci Baba,POINT (13.4413955 52.4694126)
477410513,Pizza Pasta,POINT (13.4421592 52.46957369999999)
477454198,Steh-Cafe,POINT (13.442717299999998 52.4679126)
477454200,Lahn-Grill,POINT (13.442841900000001 52.46792839999998)
477558654,Döner Dach Aceto Lokanta,POINT (13.456354400000002 52.51073529999999)
479552606,Grillhaus,POINT (13.4922229 52.512222699999995)
481148748,Aldi,POINT (13.157542200000002 52.41893569999999)
482585492,Edeka Focke,POINT (13.3547337 52.4917705)
482647762,Lidl,POINT (13.3656789 52.56194959999999)
485936333,Alain Snack,POINT (13.4133325 52.5495698)
487485823,Lidl,POINT (13.318817 52.458523)
492022196,Kiosk Freibad Lübars,POINT (13.3364178 52.6181986)
492443106,Aldi,POINT (13.3106567 52.4794954)
493681695,Currywurst,POINT (13.5419684 52.51788969999999)
497835260,Lotto Zeitungen Uray,POINT (13.4539374 52.48235389999999)
498839307,Kaufland,POINT (13.3916155 52.54798199999999)
499637619,EDEKA Heppner,POINT (13.3232009 52.459073)
500057367,Asia-Mexiko Supermarkt,POINT (13.4418357 52.46748590000001)
501074606,Baran Döner Station,POINT (13.3838128 52.55139699999999)
503248015,Sprint,POINT (13.6666753 52.41009700000001)
504156978,REWE M. Görlitz-Krüger,POINT (13.3077983 52.4728082)
504427277,Aral,POINT (13.237588300000002 52.4330697)
505980713,REWE City,POINT (13.3830186 52.49315009999999)
505996681,EDEKA,POINT (13.3839687 52.4939285)
506197795,Lateshop Café Roj,POINT (13.4242868 52.544033)
506197878,Falafel Amara,POINT (13.4244157 52.5439758)
508640816,Bergmann Pizza,POINT (13.2815105 52.5891461)
509477411,Bistro,POINT (13.4957 52.512730499999996)
513956597,Netto Marken-Discount,POINT (13.465875700000002 52.51480660000001)
513958818,Bistro Phoviet 120,POINT (13.4410035 52.4721031)
515660626,San Mendoza,POINT (13.457590000000001 52.49056549999999)
519175242,Lidl,POINT (13.2667886 52.44169939999999)
519223365,Bistro Legende,POINT (13.5147909 52.5054057)
519914006,McDonald's,POINT (13.286882400000001 52.58395769999999)
520575822,Krasselt's Imbiss,POINT (13.339613 52.4507025)
521227908,Denns BioMarkt,POINT (13.429371 52.53256929999999)
521498877,Blisse Imbiss,POINT (13.3205912 52.481948299999985)
521549245,,POINT (13.2754091 52.5363843)
521551504,Asian Snack,POINT (13.2750098 52.536611)
521990108,Final Bistro,POINT (13.4766674 52.50505369999999)
522780551,Presse Tabak / Hermes Paket Shop,POINT (13.38937 52.554899099999986)
524769051,Minimarkt Tegel,POINT (13.2803819 52.58917869999999)
528641088,Imbiss - Bernd Schulz,POINT (13.5390108 52.4211667)
